id,name,description,min_players,max_players,category,image_url,user_id
1,Catan,A strategy game about resource management and trading.,3,4,Strategy,https://cf.geekdo-images.com/0XODRpReiZBFUffEcqT5-Q__itemrep@2x/img/81lS9PRn2JwyE4br1l7Z5fgSyFo=/fit-in/492x600/filters:strip_icc()/pic9156909.png,2
2,Ticket to Ride,A railway-themed board game.,2,5,Family,https://cf.geekdo-images.com/kdWYkW-7AqG63HhqPL6ekA__itemrep@2x/img/nAI08lHzxwXX2mVrNcBms4FEO_o=/fit-in/492x600/filters:strip_icc()/pic8937637.jpg,2
3,Pandemic,A cooperative game where players work together to stop global outbreaks.,2,4,Cooperative,https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__itemrep@2x/img/qnS9n-lo85ht2reXk7MsdbgeQfM=/fit-in/492x600/filters:strip_icc()/pic1534148.jpg,2
4,Carcassonne,A tile-placement game where players build cities and roads.,2,5,Strategy,https://cf.geekdo-images.com/peUgu3A20LRmAXAMyDQfpQ__itemrep@2x/img/5X0usMdIui2cFTdbDSTBfCqNZr8=/fit-in/492x600/filters:strip_icc()/pic8621446.jpg,2
5,Codenames,A word game where players guess the right words based on clues.,2,8,Party,https://cf.geekdo-images.com/nC6ifPCDnAItwoKSKXVrnw__itemrep@2x/img/aunQPNKfQbrb3ok4ayEhC4osqkc=/fit-in/492x600/filters:strip_icc()/pic8907965.jpg,2
6,Azul,A tile-drafting game inspired by Portuguese tiles.,2,4,Abstract,https://cf.geekdo-images.com/aPSHJO0d0XOpQR5X-wJonw__itemrep@2x/img/PH6uta5QGxUHg7aZ609yifJQrhY=/fit-in/492x600/filters:strip_icc()/pic6973671.png,3
7,7 Wonders,A card drafting game about building civilizations.,3,7,Strategy,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__itemrep@2x/img/C1Q2lgN2URAqsAtanK5XI72phN8=/fit-in/492x600/filters:strip_icc()/pic7149798.jpg,3
8,Splendor,A game about collecting gems and building developments.,2,4,Card Game,https://cf.geekdo-images.com/vNFe4JkhKAERzi4T0Ntwpw__itemrep@2x/img/qDjpnPQ6u7oROPU9dS3c_opVIFc=/fit-in/492x600/filters:strip_icc()/pic8234167.png,3
9,Dixit,A storytelling game with beautifully illustrated cards.,3,6,Party,https://cf.geekdo-images.com/J0PlHArkZDJ57H-brXW2Fw__itemrep@2x/img/KLwExlTzRJJWirlhiyev9WV_pXQ=/fit-in/492x600/filters:strip_icc()/pic6738336.jpg,3
10,King of Tokyo,A dice game where players compete as monsters for dominance.,2,6,Dice,https://cf.geekdo-images.com/m_RzXpHURC0_xLkvRSR_sw__itemrep@2x/img/3e4Rf5u2trvxizg5sqJIzCCp9MM=/fit-in/492x600/filters:strip_icc()/pic3043734.jpg,3
